config;log;ocelname;explicit_ratio;obj_type_precision;obj_type_recall;obj_type_f1;obj_type_count;obj_inst_precision;obj_inst_recall;obj_inst_f1;obj_inst_count;obj_prop_precision;obj_prop_recall;obj_prop_f1;obj_prop_count;inst_to_event_precision;inst_to_event_recall;inst_to_event_f1;inst_to_event_count;time_s0;time_s1;time_s2;time_s3;time_s4;time_s5
(masked=);runningexampleitemsnn.csv;runningexampleitemsnn.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.3076923076923077;1.0;0.47058823529411764;4;0.9814866019035681;0.8127012877327051;0.8891548425523388;162747;63.473861908;0;3.613358090999995;0.5080699189999933;2.2714571559999968;0.6943879590000108
(masked=);runningexampleordersnn.csv;runningexampleordersnn.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.4;1.0;0.5714285714285715;4;0.9618028514487199;0.8422708868100828;0.8980769726275647;163075;90.77574028699999;0;1.6961964989999956;0.2278561919999902;0.9690589030000183;0.08597561300001644
(masked=);runningexamplepackagesnn.csv;runningexamplepackagesnn.csv.jsonocel;0;0.6666666666666666;1.0;0.8;2;1.0;1.0;1.0;1342;0.25;1.0;0.4;2;1.0;1.0;1.0;8732;45.43691392599999;0;0.12310464799998044;0.014578587000016796;0.06500717800003031;0.00729622999995172
