config;log;ocelname;explicit_ratio;obj_type_precision;obj_type_recall;obj_type_f1;obj_type_count;obj_inst_precision;obj_inst_recall;obj_inst_f1;obj_inst_count;obj_prop_precision;obj_prop_recall;obj_prop_f1;obj_prop_count;inst_to_event_precision;inst_to_event_recall;inst_to_event_f1;inst_to_event_count;time_s0;time_s1;time_s2;time_s3;time_s4;time_s5
(masked=);runningexampleitems.csv;runningexampleitems.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.36363636363636365;1.0;0.5333333333333333;4;0.8759101285594136;1.0;0.9338508441575077;208075;0;0;2.373284298999991;0.4142633499999988;2.3538802230000044;0.6374035300000003
(masked=);runningexampleorders.csv;runningexampleorders.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.4444444444444444;1.0;0.6153846153846153;4;0.9196794481639278;0.994891772516529;0.9558082838053319;197160;0;0;1.2244896199999857;0.14854770400000916;1.0296504009999978;0.04170350300000791
(masked=);runningexamplepackages.csv;runningexamplepackages.csv.jsonocel;0;0.6666666666666666;1.0;0.8;2;1.0;1.0;1.0;1342;0.25;1.0;0.4;2;1.0;1.0;1.0;8732;0;0;0.13295253100000082;0.013731770999982018;0.07733194200000071;0.011517787999991924
