config;log;ocelname;explicit_ratio;obj_type_precision;obj_type_recall;obj_type_f1;obj_type_count;obj_inst_precision;obj_inst_recall;obj_inst_f1;obj_inst_count;obj_prop_precision;obj_prop_recall;obj_prop_f1;obj_prop_count;inst_to_event_precision;inst_to_event_recall;inst_to_event_f1;inst_to_event_count;time_s0;time_s1;time_s2;time_s3;time_s4;time_s5
(masked=);runningexampleitems.csv;runningexampleitems.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.36363636363636365;1.0;0.5333333333333333;4;0.8759101285594136;1.0;0.9338508441575077;208075;0;0;2.011331673000001;0.32886631099999875;2.065372522000004;0.6020220700000039
(masked=);runningexampleorders.csv;runningexampleorders.csv.jsonocel;0;0.7142857142857143;1.0;0.8333333333333333;5;1.0;1.0;1.0;11521;0.4444444444444444;1.0;0.6153846153846153;4;0.9196794481639278;0.994891772516529;0.9558082838053319;197160;0;0;1.0925563939999847;0.14478824699997972;0.9171792969999899;0.040181265000001076
(masked=);runningexamplepackages.csv;runningexamplepackages.csv.jsonocel;0;0.6666666666666666;1.0;0.8;2;1.0;1.0;1.0;1342;0.25;1.0;0.4;2;1.0;1.0;1.0;8732;0;0;0.13671447099994793;0.01477276800000027;0.0716182649999837;0.0063915810000025886
